,id,aid_related,aid_related_prediction
0,7,1,0.0
1,9,1,1.0
2,12,0,0.0
3,14,0,0.0
4,21,0,0.0
5,31,0,0.0
6,33,1,1.0
7,34,1,1.0
8,35,1,1.0
9,36,0,1.0
10,41,1,1.0
11,43,0,0.0
12,49,1,1.0
13,52,1,1.0
14,56,1,1.0
15,61,1,0.0
16,64,1,1.0
17,65,0,1.0
18,66,1,1.0
19,79,1,1.0
20,85,1,1.0
21,86,0,0.0
22,91,1,0.0
23,95,1,1.0
24,96,0,0.0
25,97,1,1.0
26,100,0,0.0
27,103,0,1.0
28,105,0,0.0
29,110,1,1.0
30,134,1,0.0
31,135,1,1.0
32,136,0,0.0
33,144,1,0.0
34,156,1,1.0
35,160,1,1.0
36,161,1,1.0
37,165,0,0.0
38,173,0,1.0
39,176,0,0.0
40,187,1,1.0
41,194,1,0.0
42,197,0,1.0
43,201,0,0.0
44,202,1,1.0
45,204,1,1.0
46,206,1,1.0
47,213,1,0.0
48,219,1,1.0
49,220,0,0.0
50,223,1,1.0
51,225,1,1.0
52,227,1,1.0
53,234,0,1.0
54,241,1,0.0
55,242,0,0.0
56,244,1,1.0
57,253,1,1.0
58,259,0,1.0
59,263,0,0.0
60,266,0,0.0
61,269,1,1.0
62,271,1,0.0
63,272,1,1.0
64,275,1,1.0
65,276,1,1.0
66,289,0,0.0
67,291,1,1.0
68,301,0,1.0
69,302,1,1.0
70,306,1,1.0
71,310,1,1.0
72,312,0,1.0
73,315,0,1.0
74,319,0,1.0
75,331,1,1.0
76,334,0,0.0
77,345,0,1.0
78,351,0,0.0
79,356,1,0.0
80,360,1,1.0
81,363,0,0.0
82,367,1,0.0
83,373,0,0.0
84,375,0,1.0
85,392,0,0.0
86,393,1,1.0
87,397,1,1.0
88,400,0,0.0
89,402,1,1.0
90,404,0,0.0
91,409,0,1.0
92,413,1,1.0
93,424,1,1.0
94,429,1,1.0
95,431,1,1.0
96,433,1,1.0
97,436,0,0.0
98,437,1,0.0
99,440,1,1.0
100,449,1,0.0
101,453,0,1.0
102,455,0,0.0
103,462,0,0.0
104,463,0,0.0
105,466,0,0.0
106,480,0,0.0
107,481,0,0.0
108,483,0,0.0
109,485,0,0.0
110,487,0,0.0
111,491,0,0.0
112,494,0,1.0
113,500,1,1.0
114,504,0,0.0
115,505,1,1.0
116,507,0,1.0
117,519,0,1.0
118,520,0,0.0
119,530,1,1.0
120,531,0,0.0
121,533,1,1.0
122,534,0,0.0
123,536,0,0.0
124,540,0,1.0
125,542,1,0.0
126,545,0,0.0
127,546,0,1.0
128,552,0,0.0
129,557,0,0.0
130,563,0,1.0
131,574,0,0.0
132,589,1,1.0
133,593,0,0.0
134,602,0,1.0
135,606,1,1.0
136,612,1,1.0
137,614,1,1.0
138,623,0,0.0
139,630,1,1.0
140,634,1,1.0
141,636,0,1.0
142,637,0,1.0
143,639,1,1.0
144,641,1,1.0
145,644,0,0.0
146,651,1,0.0
147,652,1,1.0
148,654,0,1.0
149,655,1,1.0
150,656,1,1.0
151,666,1,0.0
152,670,0,1.0
153,676,1,1.0
154,679,1,1.0
155,681,1,1.0
156,683,1,1.0
157,691,1,0.0
158,694,1,1.0
159,695,1,1.0
160,711,0,1.0
161,714,0,1.0
162,720,1,1.0
163,726,1,1.0
164,730,1,0.0
165,733,0,0.0
166,734,1,1.0
167,737,0,1.0
168,745,1,1.0
169,751,0,1.0
170,757,1,1.0
171,759,0,0.0
172,762,0,0.0
173,765,0,0.0
174,769,0,0.0
175,777,1,1.0
176,786,1,1.0
177,787,1,1.0
178,789,1,1.0
179,792,1,1.0
180,797,1,1.0
181,799,1,1.0
182,800,1,1.0
183,802,1,1.0
184,804,0,0.0
185,809,1,1.0
186,816,1,1.0
187,826,1,1.0
188,832,1,1.0
189,835,1,1.0
190,837,1,1.0
191,839,1,0.0
192,840,1,1.0
193,845,0,0.0
194,854,1,1.0
195,860,1,1.0
196,861,1,1.0
197,862,0,0.0
198,867,1,1.0
199,871,0,0.0
200,874,1,1.0
201,877,0,0.0
202,881,1,1.0
203,884,1,1.0
204,895,1,1.0
205,897,1,1.0
206,900,1,1.0
207,901,1,1.0
208,909,1,0.0
209,912,0,0.0
210,913,1,1.0
211,916,1,1.0
