,id,direct_report,direct_report_prediction
0,2,0,0.0
1,9,0,1.0
2,25,0,0.0
3,27,1,1.0
4,30,0,0.0
5,31,0,0.0
6,41,1,1.0
7,42,1,1.0
8,47,0,1.0
9,53,0,1.0
10,56,1,1.0
11,60,0,1.0
12,64,0,0.0
13,79,1,0.0
14,82,0,0.0
15,83,1,0.0
16,86,0,0.0
17,90,0,0.0
18,97,1,1.0
19,99,0,0.0
20,100,1,0.0
21,101,1,1.0
22,115,0,0.0
23,117,0,1.0
24,121,0,1.0
25,122,1,1.0
26,124,0,0.0
27,127,0,0.0
28,130,0,0.0
29,132,1,1.0
30,133,1,0.0
31,135,1,1.0
32,139,0,0.0
33,141,0,1.0
34,147,1,1.0
35,152,1,1.0
36,153,1,1.0
37,157,1,1.0
38,159,1,0.0
39,167,0,0.0
40,174,0,1.0
41,187,1,1.0
42,195,0,0.0
43,202,0,0.0
44,205,1,1.0
45,207,1,1.0
46,214,1,1.0
47,215,0,0.0
48,219,1,1.0
49,222,0,0.0
50,225,1,1.0
51,226,1,1.0
52,227,1,1.0
53,230,1,1.0
54,233,1,1.0
55,237,0,0.0
56,249,1,0.0
57,250,1,1.0
58,253,1,0.0
59,259,1,1.0
60,263,0,0.0
61,265,1,1.0
62,266,0,0.0
63,267,1,1.0
64,274,0,1.0
65,277,1,0.0
66,280,0,0.0
67,282,1,1.0
68,291,1,1.0
69,293,0,0.0
70,301,0,1.0
71,302,0,0.0
72,303,1,1.0
73,304,1,1.0
74,310,1,1.0
75,317,1,0.0
76,319,0,1.0
77,320,1,1.0
78,321,1,0.0
79,323,1,1.0
80,333,0,1.0
81,345,0,1.0
82,347,0,1.0
83,349,1,0.0
84,354,0,0.0
85,356,0,1.0
86,360,1,1.0
87,362,0,1.0
88,367,0,0.0
89,371,0,1.0
90,376,0,0.0
91,381,1,1.0
92,382,0,1.0
93,383,0,0.0
94,385,0,0.0
95,386,0,0.0
96,391,0,1.0
97,395,0,0.0
98,400,1,0.0
99,401,1,1.0
100,405,1,1.0
101,406,0,1.0
102,419,1,1.0
103,423,0,1.0
104,433,0,1.0
105,455,0,0.0
106,456,0,0.0
107,461,0,1.0
108,465,0,0.0
109,466,0,0.0
110,470,0,1.0
111,481,0,1.0
112,484,1,1.0
113,493,0,0.0
114,500,1,1.0
115,504,1,0.0
116,507,0,1.0
117,524,1,1.0
118,533,1,1.0
119,534,0,0.0
120,535,0,0.0
121,544,0,0.0
122,550,1,1.0
123,554,1,1.0
124,561,0,1.0
125,562,0,1.0
126,573,0,1.0
127,583,0,0.0
128,593,0,0.0
129,605,1,1.0
130,611,1,1.0
131,612,1,1.0
132,613,0,0.0
133,621,0,0.0
134,624,0,1.0
135,625,0,1.0
136,629,0,1.0
137,630,1,0.0
138,631,1,1.0
139,639,1,1.0
140,643,1,1.0
141,644,1,0.0
142,669,1,1.0
143,674,0,0.0
144,675,0,1.0
145,681,0,0.0
146,684,0,0.0
147,685,0,0.0
148,690,1,1.0
149,694,1,1.0
150,696,0,0.0
151,697,1,1.0
152,700,0,1.0
153,701,0,0.0
154,709,1,1.0
155,712,1,1.0
156,714,1,0.0
157,715,0,1.0
158,719,0,0.0
159,731,0,1.0
160,737,0,1.0
161,740,0,1.0
162,742,0,1.0
163,745,0,0.0
164,757,1,1.0
165,762,0,1.0
166,770,0,1.0
167,777,1,1.0
168,785,1,0.0
169,790,0,1.0
170,797,1,1.0
171,799,1,1.0
172,816,1,1.0
173,820,0,0.0
174,822,0,1.0
175,826,0,1.0
176,827,0,0.0
177,832,1,1.0
178,834,1,1.0
179,839,1,0.0
180,847,1,1.0
181,851,1,1.0
182,867,1,1.0
183,869,0,0.0
184,872,0,0.0
185,873,1,0.0
186,880,1,0.0
187,882,1,1.0
188,896,1,0.0
189,902,1,0.0
190,909,1,0.0
191,916,1,1.0
192,920,1,1.0
193,921,0,1.0
194,923,0,1.0
195,924,0,0.0
196,931,1,0.0
197,942,0,0.0
198,945,0,1.0
199,949,0,1.0
200,951,1,0.0
201,952,1,1.0
202,954,1,1.0
203,959,0,0.0
204,962,0,0.0
205,963,1,1.0
206,964,0,0.0
207,967,1,1.0
208,971,0,1.0
209,972,0,1.0
210,973,0,0.0
211,975,0,0.0
212,979,0,0.0
213,980,1,1.0
214,981,1,1.0
215,986,1,1.0
216,991,1,1.0
217,1004,1,1.0
218,1012,1,1.0
219,1015,0,0.0
220,1019,1,1.0
221,1020,0,1.0
222,1025,1,1.0
223,1029,1,1.0
224,1036,1,1.0
225,1037,1,0.0
226,1039,0,0.0
227,1040,1,0.0
228,1043,1,0.0
229,1047,1,1.0
230,1049,1,1.0
231,1053,0,1.0
232,1063,0,1.0
233,1065,1,0.0
234,1069,1,1.0
235,1077,1,1.0
236,1080,0,1.0
237,1084,1,1.0
238,1089,1,0.0
239,1091,0,0.0
240,1096,0,0.0
241,1099,1,1.0
242,1109,1,1.0
243,1117,0,1.0
244,1126,1,1.0
245,1130,1,1.0
246,1131,1,1.0
247,1133,1,1.0
248,1139,1,1.0
249,1144,0,1.0
250,1149,1,1.0
251,1150,0,0.0
252,1155,1,1.0
253,1160,1,1.0
254,1161,0,1.0
255,1182,1,1.0
256,1200,0,1.0
257,1215,1,1.0
258,1221,1,1.0
259,1222,0,1.0
260,1223,0,1.0
261,1233,1,0.0
262,1236,1,1.0
263,1239,0,0.0
264,1251,0,0.0
265,1252,0,0.0
266,1253,1,1.0
267,1254,1,1.0
268,1256,0,0.0
269,1259,1,1.0
270,1264,1,1.0
271,1277,1,1.0
272,1283,0,0.0
