,id,food,food_prediction
0,17,0,0.0
1,22,0,0.0
2,30,0,0.0
3,31,0,0.0
4,32,0,0.0
5,36,0,0.0
6,41,1,1.0
7,42,0,0.0
8,43,0,0.0
9,44,1,1.0
10,45,0,0.0
11,56,0,0.0
12,60,0,0.0
13,66,1,1.0
14,71,0,0.0
15,74,0,1.0
16,79,0,0.0
17,86,0,0.0
18,92,0,0.0
19,94,0,0.0
20,101,1,0.0
21,107,0,0.0
22,110,1,1.0
23,111,0,0.0
24,124,0,0.0
25,125,0,0.0
26,127,0,0.0
27,134,0,0.0
28,141,1,0.0
29,146,0,0.0
30,147,1,1.0
31,149,1,1.0
32,151,0,0.0
33,153,1,1.0
34,154,0,1.0
35,160,1,0.0
36,163,0,0.0
37,164,1,1.0
38,165,0,0.0
39,167,0,0.0
40,181,0,0.0
41,182,0,0.0
42,184,0,0.0
43,185,0,0.0
44,190,0,0.0
45,193,1,1.0
46,202,1,1.0
47,204,0,0.0
48,209,0,0.0
49,210,1,1.0
50,220,0,0.0
51,222,1,0.0
52,227,0,0.0
53,229,0,1.0
54,237,1,0.0
55,239,0,0.0
56,240,1,0.0
57,241,1,0.0
58,242,0,0.0
59,243,0,0.0
60,247,0,1.0
61,249,0,0.0
62,251,1,0.0
63,253,1,0.0
64,255,0,0.0
65,260,0,1.0
66,261,0,1.0
67,262,0,0.0
68,266,0,0.0
69,267,0,0.0
70,274,0,0.0
71,279,1,0.0
72,291,1,0.0
73,299,1,0.0
74,301,0,0.0
75,303,0,0.0
76,310,0,1.0
77,315,0,0.0
78,317,1,0.0
79,322,0,0.0
80,324,0,1.0
81,329,0,0.0
82,331,0,0.0
83,333,0,0.0
84,337,0,0.0
85,349,0,0.0
86,373,0,0.0
87,375,0,0.0
88,382,0,0.0
89,397,0,1.0
90,399,0,1.0
91,403,0,0.0
92,414,0,0.0
93,415,0,0.0
94,417,0,0.0
95,425,1,1.0
96,435,1,1.0
97,440,1,1.0
98,456,0,0.0
99,460,0,0.0
100,461,1,1.0
101,462,0,0.0
102,463,0,0.0
103,466,0,0.0
104,483,0,0.0
105,484,1,0.0
106,493,0,0.0
107,504,0,0.0
108,507,0,1.0
109,509,0,0.0
110,512,0,0.0
111,513,0,0.0
112,514,0,0.0
113,516,1,1.0
114,519,0,0.0
115,522,0,0.0
116,523,1,1.0
117,524,1,0.0
118,526,1,1.0
119,532,0,0.0
120,535,0,0.0
121,544,0,0.0
122,545,0,0.0
123,546,0,0.0
124,552,0,0.0
125,554,0,0.0
126,561,0,1.0
127,566,0,0.0
128,573,0,1.0
129,577,1,0.0
130,580,0,0.0
131,582,1,1.0
132,590,0,0.0
133,591,0,0.0
134,592,0,0.0
135,596,0,1.0
136,613,0,0.0
137,623,0,0.0
138,626,1,1.0
139,635,0,0.0
140,639,1,0.0
141,644,0,0.0
142,649,1,0.0
143,660,1,1.0
144,661,1,1.0
145,662,0,0.0
146,663,0,1.0
147,664,1,1.0
148,666,0,0.0
149,670,0,0.0
150,673,0,0.0
151,676,0,0.0
152,681,0,0.0
153,683,0,0.0
154,686,1,0.0
155,687,0,0.0
156,690,1,0.0
157,691,1,0.0
158,694,0,0.0
159,696,0,0.0
160,699,1,0.0
161,701,0,0.0
162,703,0,0.0
163,705,1,1.0
164,711,0,0.0
165,714,0,0.0
166,715,0,0.0
167,720,1,0.0
168,752,0,0.0
169,759,0,0.0
170,762,0,0.0
171,769,0,0.0
172,773,0,0.0
173,774,0,0.0
174,776,0,0.0
175,779,1,1.0
176,782,0,0.0
177,786,1,1.0
178,789,0,1.0
179,790,1,0.0
180,795,0,0.0
181,796,1,0.0
182,802,0,0.0
183,805,0,0.0
184,807,1,1.0
185,810,1,1.0
186,812,1,1.0
187,813,0,0.0
188,819,1,1.0
189,820,0,0.0
190,821,0,0.0
191,822,0,0.0
192,824,1,0.0
193,829,0,0.0
194,832,1,0.0
195,842,0,0.0
196,845,0,0.0
197,850,0,1.0
198,853,0,0.0
199,854,1,1.0
200,859,1,0.0
201,860,1,0.0
202,861,1,1.0
203,863,0,0.0
204,864,0,0.0
205,874,0,0.0
206,876,0,0.0
207,895,1,0.0
208,896,0,0.0
209,900,1,1.0
210,902,0,0.0
211,905,0,0.0
212,924,0,0.0
213,933,1,1.0
214,937,0,0.0
215,945,0,0.0
216,951,0,0.0
217,955,0,0.0
218,964,0,0.0
219,976,0,0.0
220,984,0,0.0
221,985,0,0.0
222,989,0,0.0
223,990,0,1.0
224,993,0,0.0
225,997,0,0.0
226,1005,0,0.0
227,1012,0,0.0
228,1015,0,0.0
229,1017,0,0.0
230,1019,1,0.0
231,1021,1,1.0
232,1029,1,1.0
233,1030,1,0.0
234,1031,0,1.0
235,1033,0,0.0
236,1037,1,0.0
237,1039,0,0.0
238,1041,0,0.0
239,1055,0,0.0
240,1056,1,1.0
241,1069,1,1.0
242,1074,0,0.0
243,1075,0,0.0
244,1076,1,1.0
245,1080,0,1.0
246,1081,0,0.0
247,1086,0,0.0
248,1095,0,1.0
249,1101,0,0.0
250,1106,0,0.0
251,1110,1,0.0
252,1113,0,0.0
253,1115,1,1.0
254,1117,0,0.0
255,1121,0,0.0
256,1125,0,0.0
257,1126,0,1.0
258,1130,0,0.0
259,1135,0,0.0
260,1136,0,0.0
261,1142,0,0.0
262,1150,0,0.0
263,1163,0,0.0
264,1169,0,0.0
265,1173,1,1.0
266,1174,1,1.0
267,1175,0,0.0
268,1176,0,0.0
269,1179,0,0.0
270,1181,0,0.0
271,1182,0,0.0
272,1185,0,0.0
273,1191,0,0.0
