,id,infrastructure_related,infrastructure_related_prediction
0,25,0,0.0
1,31,0,0.0
2,34,0,0.0
3,42,0,0.0
4,46,0,0.0
5,47,0,0.0
6,56,0,0.0
7,64,0,0.0
8,70,0,0.0
9,73,1,0.0
10,85,0,0.0
11,91,0,0.0
12,95,1,0.0
13,103,0,0.0
14,107,0,0.0
15,112,0,0.0
16,115,0,0.0
17,117,0,0.0
18,119,0,0.0
19,121,0,0.0
20,123,0,0.0
21,133,0,0.0
22,134,0,0.0
23,136,0,0.0
24,139,0,0.0
25,140,0,0.0
26,141,0,0.0
27,143,0,0.0
28,144,0,0.0
29,149,0,0.0
30,154,0,0.0
31,159,0,0.0
32,161,0,0.0
33,162,0,0.0
34,163,0,0.0
35,164,0,0.0
36,167,0,0.0
37,170,0,0.0
38,172,0,0.0
39,175,0,0.0
40,177,0,0.0
41,182,0,0.0
42,190,0,0.0
43,200,0,0.0
44,201,0,0.0
45,202,0,0.0
46,206,0,0.0
47,207,0,0.0
48,209,1,0.0
49,217,0,0.0
50,219,0,0.0
51,235,0,0.0
52,236,0,0.0
53,239,0,0.0
54,240,0,0.0
55,241,0,0.0
56,246,1,0.0
57,249,0,0.0
58,251,0,0.0
59,253,0,0.0
60,255,0,0.0
61,263,0,0.0
62,272,0,0.0
63,273,0,0.0
64,276,0,0.0
65,277,0,0.0
66,282,0,0.0
67,284,0,0.0
68,293,0,0.0
69,302,0,0.0
70,303,0,0.0
71,310,0,0.0
72,311,0,0.0
73,323,0,0.0
74,331,0,0.0
75,334,0,0.0
76,335,0,0.0
77,336,0,0.0
78,337,0,0.0
79,346,0,0.0
80,351,0,0.0
81,352,0,0.0
82,353,0,0.0
83,354,0,0.0
84,355,0,0.0
85,356,0,0.0
86,367,0,0.0
87,372,0,0.0
88,376,0,0.0
89,379,0,0.0
90,386,0,0.0
91,389,0,0.0
92,393,0,0.0
93,399,0,0.0
94,400,0,0.0
95,405,0,0.0
96,407,0,0.0
97,410,0,0.0
98,411,0,0.0
99,414,0,0.0
100,416,1,0.0
101,419,0,0.0
102,420,0,0.0
103,424,0,1.0
104,429,0,0.0
105,433,0,0.0
106,440,0,0.0
107,451,0,0.0
108,456,0,0.0
109,481,0,0.0
110,484,0,0.0
111,485,0,0.0
112,493,0,0.0
113,497,0,0.0
114,500,0,0.0
115,505,0,0.0
116,510,0,0.0
117,517,0,0.0
118,531,0,0.0
119,532,0,0.0
120,533,0,0.0
121,535,0,0.0
122,540,0,0.0
123,543,0,0.0
124,544,0,0.0
125,545,0,0.0
126,546,0,0.0
127,549,0,0.0
128,566,0,0.0
129,569,0,0.0
130,571,0,0.0
131,573,0,0.0
132,574,0,0.0
133,576,0,0.0
134,587,0,0.0
135,590,0,0.0
136,591,0,0.0
137,595,0,0.0
138,601,0,0.0
139,611,0,0.0
140,619,0,0.0
141,623,0,0.0
142,627,0,0.0
143,629,0,0.0
144,631,0,0.0
145,633,0,1.0
146,635,0,0.0
147,640,0,0.0
148,644,0,0.0
149,645,0,0.0
150,647,0,0.0
151,651,0,0.0
152,652,1,0.0
153,657,0,0.0
154,659,0,0.0
155,661,0,0.0
156,662,0,0.0
157,667,0,0.0
158,673,0,0.0
159,674,0,0.0
160,675,0,0.0
161,682,0,0.0
162,685,0,0.0
163,686,0,0.0
164,691,0,0.0
165,694,0,0.0
166,695,0,0.0
167,697,0,0.0
168,699,0,0.0
169,703,0,0.0
170,729,0,1.0
171,735,0,0.0
172,749,0,0.0
173,752,0,0.0
174,756,0,0.0
175,757,0,0.0
176,761,0,0.0
177,763,0,0.0
178,767,0,0.0
179,770,0,0.0
180,776,0,0.0
181,779,0,0.0
182,784,0,0.0
183,786,1,0.0
184,794,0,0.0
185,795,0,0.0
186,799,0,0.0
187,802,0,0.0
188,819,0,0.0
189,821,0,0.0
190,822,0,0.0
191,824,0,0.0
192,825,0,0.0
