,id,medical_help,medical_help_prediction
0,9,0,0.0
1,15,0,0.0
2,20,1,0.0
3,21,0,0.0
4,30,0,0.0
5,33,0,0.0
6,34,0,0.0
7,36,0,0.0
8,44,0,0.0
9,45,0,0.0
10,50,0,0.0
11,51,0,0.0
12,53,1,0.0
13,54,0,0.0
14,57,0,0.0
15,61,0,0.0
16,62,0,0.0
17,81,0,0.0
18,84,0,0.0
19,86,0,0.0
20,94,0,0.0
21,96,0,0.0
22,100,0,0.0
23,115,0,0.0
24,121,0,0.0
25,126,1,0.0
26,134,1,0.0
27,143,0,0.0
28,146,0,0.0
29,166,0,0.0
30,170,0,0.0
31,174,0,0.0
32,175,0,0.0
33,176,0,0.0
34,182,0,0.0
35,183,0,0.0
36,185,0,0.0
37,187,0,0.0
38,190,0,0.0
39,191,1,0.0
40,193,0,0.0
41,200,0,0.0
42,201,0,0.0
43,204,1,0.0
44,207,0,0.0
45,209,0,0.0
46,221,0,0.0
47,222,1,0.0
48,223,0,0.0
49,225,0,0.0
50,230,1,0.0
51,231,0,0.0
52,235,1,1.0
53,239,0,0.0
54,245,0,0.0
55,249,0,0.0
56,273,0,0.0
57,283,0,0.0
58,289,0,0.0
59,303,0,0.0
60,313,0,0.0
61,317,0,0.0
62,320,0,0.0
63,322,0,0.0
64,325,1,0.0
65,326,0,0.0
66,329,0,0.0
67,331,0,0.0
68,342,0,0.0
69,345,0,0.0
70,347,0,0.0
71,352,0,0.0
72,353,0,0.0
73,354,0,0.0
74,360,1,0.0
75,361,0,0.0
76,373,0,0.0
77,379,0,0.0
78,380,0,0.0
79,383,0,0.0
80,397,1,0.0
81,401,0,0.0
82,409,0,0.0
83,412,0,0.0
84,419,0,0.0
85,423,1,1.0
86,425,0,0.0
87,433,0,0.0
88,435,0,0.0
89,440,1,0.0
90,463,0,0.0
91,465,0,0.0
92,474,0,0.0
93,480,0,0.0
94,485,0,0.0
95,487,0,0.0
96,493,0,0.0
97,504,0,0.0
98,505,1,0.0
99,507,0,1.0
100,510,1,0.0
101,513,1,0.0
102,522,0,0.0
103,526,0,0.0
104,532,0,0.0
105,533,0,0.0
106,544,0,0.0
107,546,0,0.0
108,552,0,0.0
109,556,0,0.0
110,561,0,0.0
111,564,0,0.0
112,565,0,0.0
113,566,0,0.0
114,573,0,0.0
115,583,0,0.0
116,585,0,0.0
117,593,0,0.0
118,621,0,0.0
119,622,0,0.0
120,626,1,0.0
121,627,0,0.0
122,633,0,1.0
123,634,0,0.0
124,636,0,0.0
125,640,1,0.0
126,642,0,0.0
127,643,0,0.0
128,652,1,0.0
129,659,0,0.0
130,661,0,0.0
131,663,0,0.0
132,667,0,0.0
133,670,0,0.0
134,682,0,0.0
135,683,0,0.0
136,686,0,0.0
137,695,0,0.0
138,697,0,0.0
139,699,0,0.0
140,703,0,0.0
141,709,0,0.0
142,719,0,0.0
143,726,0,0.0
144,731,0,0.0
145,735,0,0.0
146,736,0,0.0
147,737,0,0.0
148,740,0,0.0
149,741,0,0.0
150,742,0,0.0
151,750,0,0.0
152,759,0,0.0
153,762,0,0.0
154,770,0,0.0
155,771,0,0.0
156,773,0,0.0
157,774,0,0.0
