,id,medical_products,medical_products_prediction
0,12,0,0.0
1,14,0,0.0
2,17,0,0.0
3,21,0,0.0
4,24,0,0.0
5,25,0,0.0
6,26,1,0.0
7,30,0,0.0
8,31,0,0.0
9,39,0,0.0
10,41,0,0.0
11,43,0,0.0
12,45,0,0.0
13,49,0,0.0
14,50,0,0.0
15,51,0,0.0
16,52,0,0.0
17,53,0,0.0
18,60,0,0.0
19,61,0,0.0
20,62,0,0.0
21,65,0,0.0
22,67,0,0.0
23,73,0,0.0
24,79,0,0.0
25,90,0,0.0
26,92,0,0.0
27,94,0,0.0
28,96,0,0.0
29,111,0,0.0
30,115,0,0.0
31,120,0,0.0
32,122,0,0.0
33,130,0,0.0
34,139,0,0.0
35,144,0,0.0
36,146,0,0.0
37,152,0,0.0
38,155,0,0.0
39,161,0,0.0
40,164,0,0.0
41,167,0,0.0
42,174,0,0.0
43,184,0,0.0
44,193,0,0.0
45,200,0,0.0
46,202,0,0.0
47,204,0,0.0
48,213,0,0.0
49,214,0,0.0
50,215,0,0.0
51,224,0,0.0
52,229,0,0.0
53,241,0,0.0
54,242,0,0.0
55,249,0,0.0
56,251,0,0.0
57,255,0,0.0
58,259,0,0.0
59,260,0,1.0
60,265,1,0.0
61,266,0,0.0
62,267,0,0.0
63,275,1,0.0
64,276,0,0.0
65,280,0,0.0
66,292,0,0.0
67,299,0,0.0
68,302,0,0.0
69,309,0,0.0
70,311,0,0.0
71,312,0,0.0
72,313,0,0.0
73,315,0,0.0
74,319,0,0.0
75,321,0,0.0
76,323,0,0.0
77,325,0,0.0
78,329,0,0.0
79,331,0,0.0
80,332,0,0.0
81,337,0,0.0
82,340,0,0.0
83,341,0,0.0
84,342,0,0.0
85,345,0,0.0
86,351,0,0.0
87,352,0,0.0
88,354,0,0.0
89,356,0,0.0
90,360,0,0.0
91,361,0,0.0
92,367,0,0.0
93,369,0,0.0
94,371,0,0.0
95,372,0,0.0
96,375,0,0.0
97,380,0,0.0
98,383,0,0.0
99,386,0,0.0
100,389,0,0.0
101,391,0,0.0
102,393,1,0.0
103,395,0,1.0
104,401,0,0.0
105,402,1,0.0
106,403,0,0.0
107,404,0,0.0
108,405,1,0.0
109,411,0,0.0
110,414,0,0.0
111,420,0,0.0
112,424,0,1.0
113,431,0,0.0
114,433,1,0.0
115,436,0,0.0
116,437,1,0.0
117,443,0,0.0
118,446,0,0.0
119,462,0,0.0
120,463,0,0.0
121,465,0,0.0
122,467,0,0.0
123,469,0,0.0
124,486,0,0.0
125,487,0,0.0
126,491,0,0.0
127,500,0,0.0
128,504,0,0.0
129,517,0,0.0
130,519,0,0.0
131,520,0,0.0
132,526,0,0.0
133,545,0,0.0
134,550,0,0.0
135,551,0,0.0
136,553,0,0.0
137,554,0,0.0
138,556,0,0.0
139,561,0,0.0
140,569,0,0.0
141,575,0,0.0
142,585,0,0.0
143,589,1,0.0
144,592,0,0.0
145,595,0,0.0
146,596,0,0.0
147,599,0,0.0
148,600,0,0.0
149,610,0,0.0
150,617,0,0.0
151,633,0,0.0
152,634,0,0.0
153,647,0,0.0
154,649,0,0.0
155,651,0,0.0
156,653,0,0.0
157,656,1,0.0
158,657,0,0.0
159,662,0,0.0
160,663,0,0.0
161,667,0,0.0
162,679,0,0.0
163,686,0,0.0
164,687,0,0.0
165,690,1,0.0
166,691,0,0.0
167,694,0,0.0
168,695,0,0.0
