,id,other_aid,other_aid_prediction
0,2,0,0.0
1,12,0,0.0
2,14,0,0.0
3,22,0,0.0
4,39,1,0.0
5,42,1,1.0
6,45,0,0.0
7,50,1,0.0
8,54,0,0.0
9,56,0,0.0
10,57,1,1.0
11,60,0,0.0
12,64,1,0.0
13,65,0,0.0
14,66,0,0.0
15,70,0,0.0
16,71,0,0.0
17,84,1,1.0
18,90,0,0.0
19,102,1,0.0
20,105,0,0.0
21,110,1,1.0
22,117,0,0.0
23,120,0,0.0
24,124,0,0.0
25,129,0,1.0
26,134,1,0.0
27,139,0,0.0
28,141,0,0.0
29,143,0,0.0
30,146,0,0.0
31,149,0,0.0
32,151,0,1.0
33,156,1,0.0
34,157,0,0.0
35,161,0,0.0
36,165,0,0.0
37,167,0,0.0
38,170,0,0.0
39,184,1,0.0
40,185,1,0.0
41,200,0,0.0
42,202,1,0.0
43,207,0,0.0
44,220,0,0.0
45,221,0,0.0
46,227,0,1.0
47,229,1,0.0
48,231,0,0.0
49,235,1,0.0
50,240,0,0.0
51,245,0,0.0
52,249,0,0.0
53,250,1,0.0
54,256,0,0.0
55,259,0,0.0
56,260,0,1.0
57,261,0,0.0
58,262,0,0.0
59,265,0,0.0
60,267,1,1.0
61,272,0,0.0
62,273,0,0.0
63,275,0,0.0
64,279,0,0.0
65,282,1,0.0
66,283,0,0.0
67,296,1,0.0
68,299,0,0.0
69,302,0,0.0
70,303,0,0.0
71,304,1,0.0
72,306,1,1.0
73,309,1,1.0
74,310,0,1.0
75,312,0,0.0
76,319,0,0.0
77,329,1,0.0
78,335,0,0.0
79,345,0,0.0
80,355,0,0.0
81,356,0,0.0
82,361,0,0.0
83,369,0,0.0
84,371,0,1.0
85,377,0,0.0
86,380,0,0.0
87,385,0,0.0
88,386,1,0.0
89,391,0,0.0
90,396,0,0.0
91,401,0,1.0
92,407,0,0.0
93,409,0,0.0
94,410,0,0.0
95,424,0,1.0
96,431,1,0.0
97,443,1,0.0
98,446,1,0.0
99,449,0,0.0
100,453,0,1.0
101,462,0,0.0
102,463,0,0.0
103,466,0,0.0
104,480,0,0.0
105,483,0,0.0
106,484,0,0.0
107,486,0,1.0
108,491,0,0.0
109,496,0,0.0
110,497,0,0.0
111,513,0,0.0
112,519,0,1.0
113,529,1,0.0
114,535,0,0.0
115,544,0,0.0
116,549,0,0.0
117,552,0,0.0
118,556,0,0.0
119,559,0,0.0
120,569,0,0.0
121,571,0,0.0
122,572,0,0.0
123,576,0,1.0
124,577,0,0.0
125,582,0,0.0
126,584,0,0.0
127,590,1,0.0
128,597,0,0.0
129,602,0,0.0
130,603,0,0.0
131,606,0,0.0
132,611,0,0.0
133,613,0,0.0
134,615,1,0.0
135,617,0,0.0
136,620,0,0.0
137,635,0,0.0
138,637,0,0.0
139,639,0,0.0
140,643,0,0.0
141,644,0,0.0
142,654,0,0.0
143,666,1,0.0
144,680,0,0.0
145,681,1,0.0
146,682,0,0.0
147,689,0,0.0
148,690,0,0.0
149,697,0,0.0
150,701,0,0.0
151,705,0,0.0
152,711,0,0.0
153,719,0,0.0
154,720,0,0.0
155,726,0,1.0
156,727,0,0.0
157,730,1,0.0
158,735,0,0.0
159,736,0,0.0
160,742,0,1.0
161,743,0,0.0
162,750,0,0.0
163,752,0,0.0
164,756,0,0.0
165,757,0,0.0
166,762,0,0.0
167,763,0,1.0
168,773,0,0.0
169,774,0,0.0
170,775,0,0.0
171,777,0,0.0
172,779,0,0.0
173,783,0,0.0
174,789,0,0.0
175,790,0,0.0
176,799,0,0.0
177,802,0,0.0
178,807,0,0.0
179,810,0,0.0
180,812,0,0.0
181,819,1,0.0
182,820,0,0.0
183,822,0,0.0
184,833,0,0.0
185,835,0,1.0
186,839,0,0.0
187,843,0,0.0
188,857,0,0.0
189,861,0,0.0
190,862,0,0.0
191,871,0,0.0
192,872,0,0.0
193,880,0,0.0
194,881,0,0.0
195,882,0,0.0
196,884,1,0.0
197,885,0,0.0
198,891,0,0.0
199,892,0,0.0
200,895,0,1.0
201,896,0,0.0
202,899,0,0.0
203,902,1,0.0
204,904,0,0.0
205,905,0,0.0
206,909,1,0.0
207,911,0,0.0
208,915,0,0.0
209,916,1,0.0
210,919,0,0.0
211,920,1,0.0
212,923,0,0.0
213,924,0,0.0
214,925,0,1.0
215,930,0,0.0
216,931,1,0.0
217,932,0,0.0
218,936,0,0.0
219,943,1,0.0
220,944,0,0.0
221,946,0,0.0
222,955,0,0.0
223,957,0,0.0
224,962,0,0.0
225,971,0,0.0
226,975,0,0.0
227,981,0,0.0
228,983,0,0.0
229,986,0,1.0
230,987,0,0.0
231,994,0,0.0
232,995,0,0.0
233,1000,0,0.0
