,id,other_infrastructure,other_infrastructure_prediction
0,21,0,0.0
1,24,0,0.0
2,25,0,0.0
3,31,0,0.0
4,34,0,0.0
5,37,0,0.0
6,43,0,0.0
7,53,0,0.0
8,54,0,0.0
9,61,0,0.0
10,64,0,0.0
11,65,0,0.0
12,67,0,0.0
13,71,0,0.0
14,79,0,0.0
15,81,0,0.0
16,82,0,0.0
17,92,0,0.0
18,95,0,0.0
19,99,0,0.0
20,100,0,0.0
21,102,0,0.0
22,110,1,0.0
23,115,0,0.0
24,117,0,0.0
25,125,0,0.0
26,137,0,0.0
27,140,0,0.0
28,147,0,0.0
29,150,0,0.0
30,152,0,0.0
31,154,0,0.0
32,155,1,0.0
33,156,1,0.0
34,159,0,0.0
35,160,0,0.0
36,165,0,0.0
37,167,0,0.0
38,174,0,0.0
39,176,0,0.0
40,183,0,0.0
41,190,0,0.0
42,191,1,0.0
43,199,0,0.0
44,202,0,0.0
45,207,0,0.0
46,210,0,0.0
47,211,1,0.0
48,215,0,0.0
49,217,0,0.0
50,221,0,0.0
51,222,0,0.0
52,223,0,0.0
53,224,0,0.0
54,225,0,0.0
55,226,0,0.0
56,229,0,0.0
57,230,0,0.0
58,242,0,0.0
59,245,0,0.0
60,247,0,0.0
61,254,0,0.0
62,259,0,0.0
63,265,0,0.0
64,267,0,0.0
65,272,0,0.0
66,281,0,0.0
67,283,0,0.0
68,289,0,0.0
69,301,0,0.0
70,306,0,0.0
71,309,0,0.0
72,315,0,0.0
73,317,0,0.0
74,320,0,0.0
75,324,0,0.0
76,332,0,0.0
77,337,0,0.0
78,347,0,0.0
79,372,0,0.0
80,373,0,0.0
81,375,0,0.0
82,381,0,0.0
83,383,0,0.0
84,397,0,0.0
85,399,0,0.0
86,400,0,0.0
87,406,0,0.0
88,409,0,0.0
89,410,0,0.0
90,416,0,0.0
91,417,0,0.0
92,419,0,0.0
93,420,0,0.0
94,424,0,1.0
95,431,0,0.0
96,440,0,0.0
97,455,0,0.0
98,461,0,0.0
99,463,0,0.0
100,465,0,0.0
101,467,0,0.0
102,480,0,0.0
103,482,0,0.0
104,491,0,0.0
105,505,0,0.0
106,509,0,0.0
107,520,0,0.0
108,523,1,0.0
109,525,0,0.0
110,529,0,0.0
111,534,0,0.0
112,542,0,0.0
113,545,0,0.0
114,546,0,0.0
115,551,0,0.0
116,554,0,0.0
117,562,0,0.0
118,564,0,0.0
119,569,0,0.0
120,574,0,0.0
121,575,0,0.0
122,576,0,0.0
123,577,0,0.0
124,583,0,0.0
125,584,0,0.0
126,587,0,0.0
127,591,0,0.0
128,593,0,0.0
129,596,1,0.0
130,600,0,0.0
131,602,0,0.0
132,606,0,0.0
133,609,0,0.0
134,612,0,0.0
135,615,0,0.0
136,622,0,0.0
137,626,0,0.0
138,635,0,0.0
139,641,0,0.0
140,643,0,0.0
141,651,0,0.0
142,654,0,0.0
143,656,0,0.0
144,660,0,0.0
145,664,0,0.0
146,667,0,0.0
147,680,0,0.0
148,683,0,0.0
149,697,0,0.0
150,700,0,0.0
151,701,0,0.0
152,703,0,0.0
153,709,0,0.0
154,710,0,0.0
155,711,0,0.0
156,712,0,0.0
157,720,0,0.0
158,721,0,0.0
159,726,0,0.0
160,729,0,0.0
161,730,0,0.0
162,733,0,0.0
163,734,0,0.0
164,740,0,0.0
165,749,0,0.0
166,751,0,0.0
167,752,0,0.0
168,757,0,0.0
169,763,0,0.0
170,771,0,0.0
171,772,0,0.0
172,773,0,0.0
173,774,0,0.0
174,779,0,0.0
175,782,0,0.0
176,783,0,0.0
177,786,0,0.0
178,787,0,0.0
179,793,0,0.0
180,795,0,0.0
181,797,0,0.0
182,799,0,0.0
183,804,0,0.0
184,809,0,0.0
185,812,0,0.0
186,816,0,0.0
187,817,0,0.0
188,819,0,0.0
189,822,0,0.0
190,824,0,0.0
191,825,0,0.0
192,826,0,0.0
193,827,0,0.0
194,834,0,0.0
195,841,0,0.0
196,842,0,0.0
197,845,0,0.0
198,851,0,0.0
199,857,0,0.0
200,860,0,0.0
201,869,0,0.0
202,879,0,0.0
203,883,0,0.0
204,884,0,0.0
205,892,0,0.0
206,896,0,0.0
207,897,0,0.0
208,914,0,0.0
209,920,0,0.0
210,921,0,0.0
211,925,0,0.0
212,927,0,0.0
213,930,0,0.0
214,936,0,0.0
215,939,0,0.0
216,942,0,0.0
217,944,0,0.0
218,946,0,0.0
219,957,0,0.0
220,970,0,0.0
221,971,0,0.0
222,972,0,0.0
223,973,0,0.0
224,979,0,0.0
225,983,1,0.0
226,985,0,0.0
227,992,0,0.0
228,995,1,0.0
229,996,0,0.0
230,1001,0,0.0
231,1002,0,0.0
232,1011,0,0.0
233,1012,0,0.0
234,1015,0,0.0
235,1019,0,0.0
236,1040,0,0.0
