,id,related,related_prediction
0,7,1,0.0
1,14,0,1.0
2,15,1,1.0
3,22,1,0.0
4,26,1,0.0
5,41,1,0.0
6,45,0,1.0
7,46,1,0.0
8,60,1,0.0
9,64,1,0.0
10,71,1,0.0
11,81,1,0.0
12,85,1,0.0
13,92,1,0.0
14,99,1,0.0
15,100,1,0.0
16,106,1,0.0
17,114,1,0.0
18,119,1,0.0
19,120,1,0.0
20,123,0,1.0
21,125,1,0.0
22,126,1,0.0
23,129,1,1.0
24,132,1,0.0
25,135,1,0.0
26,140,1,0.0
27,141,1,0.0
28,144,1,0.0
29,146,2,1.0
30,157,1,0.0
31,160,1,0.0
32,163,1,0.0
33,164,1,0.0
34,167,1,0.0
35,171,1,0.0
36,173,1,1.0
37,174,1,0.0
38,175,0,1.0
39,177,1,0.0
40,181,1,0.0
41,183,1,0.0
42,185,1,0.0
43,195,0,1.0
44,202,1,0.0
45,212,1,0.0
46,230,1,0.0
47,239,1,0.0
48,240,1,0.0
49,241,1,0.0
50,242,1,0.0
51,246,1,0.0
52,249,1,1.0
53,273,1,0.0
54,293,0,1.0
55,295,1,0.0
56,301,0,0.0
57,303,1,0.0
58,304,1,0.0
59,312,1,0.0
60,315,1,0.0
61,317,1,0.0
62,322,1,0.0
63,333,1,0.0
64,336,1,0.0
65,341,1,0.0
66,345,1,0.0
67,347,1,0.0
68,349,1,0.0
69,351,0,0.0
70,354,0,0.0
71,360,1,0.0
72,361,1,0.0
73,363,1,0.0
74,377,1,0.0
75,381,1,0.0
76,383,0,1.0
77,389,1,1.0
78,392,1,0.0
79,396,1,0.0
80,401,1,0.0
81,405,1,0.0
82,409,1,0.0
83,410,0,0.0
84,412,1,0.0
85,419,1,0.0
86,429,1,0.0
87,431,1,0.0
88,432,1,1.0
89,437,1,0.0
90,443,1,0.0
91,446,1,0.0
92,449,1,1.0
93,456,0,1.0
94,462,0,1.0
95,463,0,0.0
96,465,1,0.0
97,480,0,0.0
98,481,0,1.0
99,484,1,0.0
100,493,0,1.0
101,504,1,0.0
102,507,1,1.0
103,509,1,0.0
104,515,1,0.0
105,519,1,0.0
106,524,1,0.0
107,526,1,0.0
108,527,1,0.0
109,529,1,0.0
110,530,1,0.0
111,531,1,0.0
112,533,1,0.0
113,535,1,0.0
114,541,1,0.0
115,544,1,1.0
116,547,1,0.0
117,553,1,0.0
118,555,1,0.0
119,563,0,1.0
120,565,2,0.0
121,574,0,1.0
122,577,1,0.0
123,580,1,0.0
124,582,1,0.0
125,585,0,0.0
126,595,1,0.0
127,596,1,0.0
128,597,0,0.0
129,603,0,1.0
130,605,1,0.0
131,606,1,0.0
132,609,1,0.0
133,623,0,0.0
134,625,0,1.0
135,626,1,0.0
136,633,0,0.0
137,634,1,0.0
138,635,1,0.0
139,645,1,0.0
140,649,1,0.0
141,651,1,0.0
142,657,0,0.0
143,659,1,0.0
144,663,1,0.0
145,666,1,0.0
146,673,1,0.0
147,680,1,0.0
148,685,1,0.0
149,694,1,0.0
150,699,1,0.0
151,706,1,0.0
152,711,1,0.0
153,715,0,0.0
154,719,0,1.0
155,720,1,0.0
156,737,0,0.0
157,742,0,0.0
158,743,1,0.0
159,750,1,0.0
160,756,0,0.0
161,759,0,0.0
162,769,0,0.0
163,772,0,0.0
164,775,1,0.0
165,777,1,0.0
166,780,1,0.0
167,783,0,0.0
168,785,1,0.0
169,786,1,0.0
170,787,1,0.0
171,794,1,0.0
172,802,1,0.0
173,804,2,2.0
174,805,1,0.0
175,807,1,0.0
176,817,1,0.0
177,820,0,1.0
178,822,1,0.0
179,825,1,0.0
180,829,0,0.0
181,830,1,0.0
182,840,1,0.0
183,843,0,0.0
184,850,1,0.0
185,851,1,0.0
186,856,1,1.0
187,857,0,0.0
188,860,1,0.0
189,862,0,0.0
190,863,1,0.0
191,864,1,0.0
192,866,1,0.0
193,869,1,0.0
194,881,1,0.0
195,893,1,0.0
196,896,1,0.0
197,899,1,0.0
198,904,1,0.0
199,920,1,0.0
200,924,1,0.0
201,937,1,0.0
202,939,1,0.0
203,942,1,1.0
204,943,1,0.0
205,944,1,0.0
206,945,1,0.0
207,947,1,0.0
208,955,1,0.0
209,957,1,0.0
210,962,1,0.0
211,963,1,0.0
212,966,1,0.0
213,971,1,0.0
214,972,1,0.0
215,974,1,0.0
216,981,1,0.0
217,983,1,0.0
218,986,1,0.0
219,994,1,0.0
220,996,1,1.0
221,997,1,0.0
222,1000,0,1.0
223,1007,1,0.0
224,1011,1,1.0
225,1012,1,0.0
226,1021,1,0.0
227,1022,1,0.0
228,1025,1,0.0
229,1026,1,1.0
230,1029,1,0.0
231,1031,0,0.0
232,1037,1,0.0
233,1056,1,0.0
234,1061,1,0.0
235,1066,0,0.0
236,1069,1,0.0
237,1080,2,0.0
238,1082,1,0.0
239,1089,1,0.0
240,1090,1,0.0
241,1095,1,0.0
242,1099,1,0.0
243,1101,1,0.0
244,1109,1,0.0
245,1113,2,0.0
246,1119,1,0.0
247,1127,1,0.0
248,1131,1,0.0
249,1142,0,1.0
250,1143,1,0.0
251,1165,1,0.0
252,1166,1,0.0
253,1169,1,0.0
254,1185,0,1.0
255,1187,1,0.0
256,1189,1,0.0
257,1193,1,0.0
258,1200,1,0.0
259,1202,0,1.0
260,1203,0,0.0
261,1205,1,0.0
262,1212,1,0.0
263,1216,0,0.0
264,1219,0,0.0
265,1220,1,0.0
266,1222,1,0.0
267,1225,1,0.0
