,id,request,request_prediction
0,2,0,0.0
1,16,1,1.0
2,21,0,0.0
3,27,1,1.0
4,33,1,1.0
5,35,1,1.0
6,44,1,1.0
7,45,0,0.0
8,49,1,1.0
9,51,1,1.0
10,57,0,1.0
11,65,0,0.0
12,71,0,1.0
13,74,1,1.0
14,79,1,0.0
15,85,0,0.0
16,86,0,0.0
17,91,1,0.0
18,105,0,0.0
19,111,0,0.0
20,112,1,0.0
21,115,0,0.0
22,123,0,0.0
23,136,1,1.0
24,143,0,0.0
25,147,1,1.0
26,149,1,1.0
27,152,1,1.0
28,156,1,1.0
29,157,1,1.0
30,160,1,0.0
31,164,1,1.0
32,170,1,1.0
33,172,1,1.0
34,174,0,1.0
35,183,1,1.0
36,184,1,1.0
37,185,1,1.0
38,194,1,1.0
39,207,1,1.0
40,211,0,1.0
41,215,0,0.0
42,216,0,0.0
43,217,0,1.0
44,220,0,0.0
45,221,1,1.0
46,226,1,0.0
47,227,1,1.0
48,230,1,1.0
49,234,0,0.0
50,235,1,1.0
51,244,1,1.0
52,245,1,1.0
53,255,0,0.0
54,263,0,0.0
55,269,1,1.0
56,274,1,1.0
57,276,1,1.0
58,277,1,0.0
59,279,1,1.0
60,283,1,1.0
61,289,0,0.0
62,291,1,1.0
63,293,0,0.0
64,295,0,0.0
65,296,1,1.0
66,301,0,0.0
67,303,1,1.0
68,313,1,1.0
69,319,0,1.0
70,324,0,0.0
71,325,1,1.0
72,326,1,1.0
73,334,0,0.0
74,335,0,0.0
75,337,1,0.0
76,341,1,1.0
77,342,1,1.0
78,345,0,1.0
79,347,1,1.0
80,349,1,0.0
81,354,0,0.0
82,363,0,1.0
83,373,0,1.0
84,376,0,0.0
85,384,1,1.0
86,395,1,1.0
87,400,1,0.0
88,405,1,1.0
89,409,0,1.0
90,414,1,1.0
91,416,1,1.0
92,417,0,0.0
93,425,1,1.0
94,429,1,1.0
95,431,1,0.0
96,436,0,0.0
97,446,1,0.0
98,447,1,0.0
99,451,1,1.0
100,453,0,1.0
101,456,0,0.0
102,460,1,1.0
103,466,0,0.0
104,469,1,0.0
105,471,0,0.0
106,474,0,0.0
107,480,0,0.0
108,481,0,0.0
109,482,0,0.0
110,485,0,0.0
111,487,0,1.0
112,497,0,0.0
113,500,1,1.0
114,512,1,1.0
115,515,0,1.0
116,523,1,1.0
117,531,0,1.0
118,534,0,0.0
119,540,0,1.0
120,544,0,0.0
121,545,0,0.0
122,547,1,0.0
123,556,0,0.0
124,559,1,0.0
125,572,1,0.0
126,575,0,0.0
127,585,0,1.0
128,589,1,1.0
129,595,1,1.0
130,596,1,1.0
131,600,0,0.0
132,602,0,1.0
133,603,0,0.0
134,615,1,0.0
135,620,0,0.0
136,623,0,0.0
137,639,1,1.0
138,642,1,1.0
139,643,1,1.0
140,644,1,1.0
141,651,1,0.0
142,660,1,1.0
143,666,1,1.0
144,667,0,0.0
145,673,0,1.0
146,674,0,0.0
147,679,1,1.0
148,684,1,0.0
149,691,1,1.0
150,692,1,0.0
151,695,1,1.0
152,699,1,1.0
153,703,1,0.0
154,705,1,1.0
155,710,0,0.0
156,727,1,1.0
157,735,1,1.0
158,749,1,1.0
159,765,0,0.0
160,770,0,0.0
161,773,0,0.0
162,774,0,0.0
163,781,1,1.0
164,784,1,1.0
165,792,1,1.0
166,802,0,1.0
167,804,0,0.0
168,805,0,0.0
169,806,0,1.0
170,809,1,0.0
171,810,1,1.0
172,813,1,0.0
173,815,1,1.0
174,816,1,1.0
175,821,0,0.0
176,823,1,1.0
177,824,1,1.0
178,826,1,1.0
179,834,1,1.0
180,840,1,0.0
181,845,0,1.0
182,847,1,1.0
183,849,1,1.0
184,854,1,1.0
185,856,0,1.0
186,857,0,0.0
187,862,0,0.0
188,864,1,1.0
189,867,1,1.0
190,872,0,0.0
191,873,1,0.0
192,874,1,0.0
193,877,0,0.0
194,883,1,1.0
195,886,1,1.0
196,887,1,1.0
197,893,1,1.0
198,894,1,0.0
199,895,1,1.0
200,897,1,1.0
201,902,1,0.0
202,917,1,0.0
203,920,1,1.0
204,923,1,1.0
205,926,1,0.0
206,940,1,1.0
207,943,1,1.0
208,944,0,1.0
209,945,0,1.0
210,946,0,1.0
211,947,1,1.0
212,949,0,0.0
213,952,1,1.0
214,953,1,0.0
215,963,0,1.0
216,966,1,1.0
217,970,1,1.0
218,972,0,1.0
219,981,1,1.0
220,991,1,1.0
221,996,1,1.0
222,997,1,0.0
223,1011,1,1.0
224,1015,0,0.0
225,1017,0,1.0
226,1019,1,1.0
227,1021,1,1.0
228,1024,0,1.0
229,1025,1,1.0
230,1029,1,1.0
231,1037,1,1.0
232,1042,0,0.0
233,1044,1,1.0
234,1049,1,1.0
235,1052,1,1.0
236,1055,1,0.0
237,1060,1,1.0
238,1062,1,1.0
239,1066,0,1.0
240,1080,0,1.0
241,1081,1,1.0
242,1084,0,1.0
243,1097,1,0.0
244,1101,0,0.0
245,1103,1,0.0
246,1109,1,1.0
247,1110,1,0.0
248,1111,0,1.0
249,1115,1,1.0
250,1125,1,0.0
251,1127,1,1.0
252,1139,1,0.0
253,1141,0,1.0
254,1143,1,1.0
255,1144,0,1.0
256,1147,0,1.0
257,1149,1,1.0
258,1150,0,0.0
259,1156,0,1.0
260,1166,1,0.0
261,1175,0,0.0
262,1176,0,0.0
263,1183,1,1.0
264,1186,0,0.0
265,1190,0,0.0
266,1191,0,0.0
267,1193,1,1.0
268,1197,1,0.0
269,1203,0,1.0
270,1206,1,1.0
271,1207,0,0.0
272,1211,1,1.0
273,1215,1,1.0
274,1216,0,0.0
275,1217,0,0.0
276,1221,1,1.0
277,1231,0,1.0
278,1233,1,0.0
279,1235,1,1.0
280,1243,1,1.0
281,1244,0,0.0
282,1247,1,0.0
283,1250,1,1.0
284,1251,0,0.0
285,1255,0,0.0
286,1256,0,0.0
287,1259,1,1.0
288,1262,0,0.0
289,1265,1,1.0
290,1267,1,1.0
291,1271,0,0.0
292,1277,1,1.0
293,1287,0,0.0
294,1295,1,1.0
295,1302,1,1.0
296,1305,1,1.0
297,1311,0,0.0
298,1314,1,1.0
299,1316,1,1.0
300,1320,0,1.0
301,1325,1,1.0
302,1329,1,1.0
303,1330,0,0.0
304,1331,0,0.0
305,1336,0,0.0
306,1341,0,0.0
307,1353,0,0.0
308,1354,0,0.0
309,1361,0,0.0
310,1364,1,1.0
311,1365,0,0.0
312,1372,0,1.0
313,1380,0,0.0
314,1381,0,1.0
315,1384,0,0.0
316,1390,0,0.0
317,1391,0,1.0
318,1392,1,1.0
319,1394,0,1.0
320,1399,0,0.0
321,1402,0,0.0
322,1404,0,0.0
323,1407,1,1.0
324,1414,0,0.0
325,1415,1,0.0
326,1417,0,0.0
327,1423,1,0.0
328,1429,0,0.0
329,1434,0,1.0
330,1435,0,1.0
331,1446,1,1.0
332,1450,0,0.0
333,1451,0,1.0
334,1452,0,1.0
335,1454,0,0.0
336,1459,0,1.0
337,1460,0,1.0
338,1462,0,1.0
339,1463,1,1.0
340,1466,0,0.0
341,1469,1,0.0
342,1470,1,1.0
343,1474,0,0.0
344,1482,0,0.0
345,1484,1,0.0
346,1487,0,0.0
347,1490,1,0.0
348,1492,1,1.0
349,1497,1,1.0
350,1507,1,1.0
351,1511,0,0.0
352,1514,1,1.0
353,1516,0,0.0
354,1524,0,1.0
355,1531,1,1.0
356,1534,0,0.0
357,1536,1,1.0
358,1537,0,0.0
359,1544,0,0.0
360,1549,0,0.0
361,1550,0,1.0
362,1551,0,0.0
363,1554,1,0.0
