,id,search_and_rescue,search_and_rescue_prediction
0,2,0,0.0
1,14,0,0.0
2,20,0,0.0
3,30,0,0.0
4,32,0,0.0
5,33,0,0.0
6,35,0,0.0
7,44,0,0.0
8,45,0,0.0
9,49,0,0.0
10,50,0,0.0
11,51,0,0.0
12,52,0,0.0
13,53,0,0.0
14,54,0,0.0
15,63,0,0.0
16,65,0,0.0
17,70,0,0.0
18,74,0,0.0
19,79,0,0.0
20,81,0,0.0
21,82,0,0.0
22,84,0,0.0
23,95,0,0.0
24,101,0,0.0
25,102,0,0.0
26,105,0,0.0
27,113,0,0.0
28,114,0,0.0
29,115,0,0.0
30,119,0,0.0
31,127,0,0.0
32,131,0,0.0
33,137,0,0.0
34,147,0,0.0
35,150,0,0.0
36,155,0,0.0
37,164,0,0.0
38,170,1,0.0
39,171,1,0.0
40,172,0,0.0
41,175,0,0.0
42,187,0,0.0
43,190,1,0.0
44,197,0,0.0
45,199,0,0.0
46,200,0,0.0
47,202,0,0.0
48,211,0,0.0
49,214,0,0.0
50,215,0,0.0
51,220,0,0.0
52,221,0,0.0
53,223,0,0.0
54,224,0,0.0
55,225,0,0.0
56,226,0,0.0
57,230,0,0.0
58,234,0,0.0
59,239,0,0.0
60,242,0,0.0
61,243,0,0.0
62,250,0,0.0
63,251,0,0.0
64,253,0,0.0
65,254,0,0.0
66,259,0,0.0
67,261,0,0.0
68,263,0,0.0
69,265,0,0.0
70,279,0,0.0
71,283,0,0.0
72,284,0,0.0
73,289,0,0.0
74,290,0,0.0
75,291,0,0.0
76,292,0,0.0
77,294,0,0.0
78,304,0,0.0
79,306,1,0.0
80,312,0,0.0
81,320,0,0.0
82,323,0,0.0
83,324,0,0.0
84,342,0,0.0
85,371,0,0.0
86,373,0,0.0
87,376,0,0.0
88,384,0,0.0
89,385,0,0.0
90,391,0,0.0
91,397,0,0.0
92,399,0,0.0
93,402,0,0.0
94,404,0,0.0
95,407,0,0.0
96,419,0,0.0
97,431,1,0.0
98,446,0,0.0
99,447,0,0.0
100,462,0,0.0
101,463,0,0.0
102,466,0,0.0
103,470,0,0.0
104,484,0,0.0
105,485,0,0.0
106,496,0,0.0
107,500,0,0.0
108,505,1,0.0
109,511,0,0.0
110,514,0,0.0
111,515,0,0.0
112,516,1,0.0
113,519,0,0.0
114,520,0,0.0
115,527,0,0.0
116,533,0,0.0
117,534,0,0.0
118,546,0,0.0
119,550,0,0.0
120,552,0,0.0
121,555,0,0.0
122,563,0,0.0
123,564,0,0.0
124,571,0,0.0
125,575,0,0.0
126,587,0,0.0
127,591,0,0.0
128,592,0,0.0
129,595,0,0.0
130,597,0,0.0
131,599,0,0.0
132,609,0,0.0
133,610,0,0.0
134,613,0,0.0
135,614,0,0.0
136,627,0,0.0
137,630,0,0.0
138,635,0,0.0
139,640,1,0.0
140,651,0,0.0
141,657,0,0.0
142,659,0,0.0
143,661,0,0.0
144,662,0,0.0
145,667,0,0.0
146,670,0,0.0
147,676,0,0.0
148,683,0,0.0
149,684,0,0.0
150,689,0,0.0
151,690,0,0.0
152,691,0,0.0
153,692,0,0.0
154,694,1,0.0
155,696,1,0.0
156,704,0,0.0
157,709,0,0.0
158,712,0,0.0
159,714,0,0.0
160,715,0,0.0
161,734,0,0.0
162,750,0,0.0
163,765,0,0.0
164,771,0,0.0
165,774,0,0.0
166,775,0,0.0
167,776,0,0.0
168,783,0,0.0
169,784,0,0.0
170,785,1,0.0
171,790,0,0.0
172,792,0,0.0
173,793,0,0.0
174,794,0,0.0
175,799,0,0.0
176,800,0,0.0
177,801,0,0.0
178,802,0,0.0
179,804,0,0.0
180,805,0,0.0
181,806,0,0.0
182,807,0,0.0
183,813,0,0.0
184,817,0,0.0
185,820,0,0.0
186,821,0,0.0
187,822,0,0.0
188,826,0,0.0
189,833,0,0.0
190,834,0,0.0
191,844,0,0.0
192,850,1,0.0
193,856,0,0.0
194,859,0,0.0
195,860,0,0.0
196,862,0,0.0
197,864,0,0.0
198,871,0,0.0
199,890,0,0.0
200,891,0,0.0
201,896,0,0.0
202,897,0,0.0
203,899,0,0.0
204,900,0,0.0
205,904,0,0.0
206,907,0,0.0
207,914,0,0.0
208,917,0,0.0
209,924,0,0.0
210,925,0,0.0
211,929,0,0.0
212,932,0,0.0
213,936,0,0.0
214,943,0,0.0
215,945,0,0.0
216,946,0,0.0
217,949,0,0.0
218,953,0,0.0
219,955,0,0.0
220,957,0,0.0
221,960,0,0.0
222,962,0,0.0
223,973,0,0.0
224,975,0,0.0
225,979,0,0.0
226,981,0,0.0
227,989,0,0.0
228,993,0,0.0
229,994,0,0.0
230,1007,0,0.0
231,1010,0,0.0
232,1011,0,0.0
233,1012,0,0.0
234,1019,0,0.0
235,1021,0,0.0
236,1022,0,0.0
237,1024,0,0.0
238,1037,0,0.0
239,1040,1,0.0
240,1043,0,0.0
241,1060,0,0.0
242,1066,0,0.0
243,1069,0,0.0
244,1072,0,0.0
245,1076,0,0.0
246,1079,0,0.0
247,1086,0,0.0
248,1089,0,0.0
249,1093,0,0.0
250,1097,0,0.0
251,1101,0,0.0
252,1102,0,0.0
253,1103,0,0.0
254,1106,0,0.0
255,1117,0,0.0
256,1120,0,0.0
257,1131,0,0.0
258,1133,0,0.0
259,1135,0,0.0
260,1140,0,0.0
261,1141,0,0.0
262,1144,0,0.0
263,1147,0,0.0
264,1149,0,0.0
265,1156,0,0.0
266,1161,0,1.0
267,1163,0,0.0
268,1165,0,0.0
269,1166,0,0.0
270,1174,0,0.0
271,1176,0,0.0
272,1179,0,0.0
273,1184,0,0.0
274,1185,0,0.0
275,1194,0,0.0
276,1195,0,0.0
277,1202,0,0.0
278,1203,0,0.0
279,1204,0,0.0
280,1206,0,0.0
281,1219,0,0.0
282,1230,0,0.0
283,1242,0,0.0
284,1244,0,0.0
285,1253,0,0.0
286,1255,0,0.0
287,1263,0,0.0
288,1265,0,0.0
289,1266,0,0.0
290,1271,0,0.0
291,1279,0,0.0
292,1283,0,0.0
293,1284,0,0.0
294,1285,0,0.0
295,1292,1,0.0
296,1293,0,0.0
297,1300,0,0.0
298,1301,0,0.0
299,1305,0,0.0
300,1307,0,0.0
301,1310,0,0.0
302,1331,0,0.0
303,1333,1,0.0
304,1342,0,0.0
305,1344,0,0.0
306,1345,0,0.0
307,1347,0,0.0
308,1352,0,0.0
309,1354,0,0.0
310,1356,0,0.0
311,1357,0,0.0
312,1360,0,0.0
313,1363,0,0.0
314,1369,0,0.0
315,1370,0,0.0
316,1376,0,0.0
317,1379,0,0.0
318,1384,0,0.0
319,1397,0,0.0
320,1406,0,0.0
321,1409,0,0.0
322,1412,0,0.0
323,1414,0,0.0
324,1430,0,0.0
325,1434,0,0.0
326,1437,0,0.0
327,1442,0,0.0
328,1449,0,0.0
329,1453,1,0.0
330,1457,0,0.0
331,1461,0,0.0
332,1465,0,0.0
333,1470,0,0.0
334,1471,0,0.0
335,1489,0,0.0
336,1490,0,0.0
337,1492,0,0.0
338,1497,0,0.0
339,1502,0,0.0
340,1504,0,0.0
341,1521,0,0.0
342,1522,0,0.0
343,1525,0,0.0
344,1527,0,0.0
345,1531,0,0.0
