,id,shelter,shelter_prediction
0,12,0,0.0
1,14,0,0.0
2,15,0,0.0
3,20,0,0.0
4,26,1,1.0
5,32,0,0.0
6,37,0,0.0
7,42,0,0.0
8,45,0,0.0
9,49,0,1.0
10,52,1,0.0
11,54,0,0.0
12,57,0,0.0
13,62,0,0.0
14,63,0,0.0
15,65,0,0.0
16,66,0,0.0
17,71,0,0.0
18,73,0,0.0
19,81,0,0.0
20,85,0,0.0
21,95,0,0.0
22,115,0,0.0
23,126,0,0.0
24,129,0,0.0
25,134,0,0.0
26,137,0,0.0
27,141,0,0.0
28,144,0,0.0
29,152,0,0.0
30,161,0,0.0
31,167,0,0.0
32,176,0,0.0
33,177,0,0.0
34,181,0,0.0
35,190,0,0.0
36,194,0,0.0
37,197,0,0.0
38,200,0,0.0
39,204,0,0.0
40,205,1,1.0
41,215,0,0.0
42,217,0,0.0
43,219,0,0.0
44,223,0,0.0
45,224,0,0.0
46,225,0,0.0
47,231,0,0.0
48,237,0,0.0
49,239,1,0.0
50,241,0,0.0
51,242,0,0.0
52,243,0,0.0
53,244,0,1.0
54,247,0,0.0
55,250,0,0.0
56,261,0,1.0
57,265,0,0.0
58,269,0,0.0
59,271,1,0.0
60,272,0,0.0
61,273,1,0.0
62,277,0,0.0
63,279,0,0.0
64,282,0,0.0
65,294,0,0.0
66,299,0,0.0
67,303,0,0.0
68,317,0,0.0
69,320,0,0.0
70,323,0,0.0
71,326,1,0.0
72,329,0,0.0
73,332,0,0.0
74,334,0,0.0
75,340,1,0.0
76,347,1,0.0
77,352,0,0.0
78,353,0,0.0
79,354,0,0.0
80,360,1,0.0
81,375,0,0.0
82,383,0,0.0
83,385,0,0.0
84,406,0,1.0
85,412,0,0.0
86,413,1,0.0
87,425,0,0.0
88,429,1,0.0
89,431,0,0.0
90,433,0,0.0
91,435,0,0.0
92,436,0,1.0
93,444,0,0.0
94,451,0,0.0
95,453,0,0.0
96,455,0,0.0
97,456,0,0.0
98,460,0,0.0
99,462,0,0.0
100,469,0,0.0
101,480,0,0.0
102,482,0,0.0
103,485,0,0.0
104,491,0,0.0
105,493,0,0.0
106,509,0,0.0
107,510,0,1.0
108,511,0,1.0
109,516,0,0.0
110,522,0,0.0
111,524,0,0.0
112,534,0,0.0
113,539,0,0.0
114,540,0,0.0
115,546,0,0.0
116,550,0,0.0
117,552,0,0.0
118,553,1,0.0
119,556,0,0.0
120,561,0,0.0
121,562,0,0.0
122,582,0,0.0
123,583,0,0.0
124,584,0,0.0
125,587,0,0.0
126,591,0,0.0
127,594,1,0.0
128,602,0,0.0
129,609,0,0.0
130,613,0,0.0
131,615,0,0.0
132,617,0,0.0
133,619,0,0.0
134,621,0,0.0
135,622,0,0.0
136,626,1,1.0
137,633,0,1.0
138,639,0,0.0
139,642,0,0.0
140,647,1,0.0
141,649,0,0.0
142,651,1,0.0
143,652,0,0.0
144,654,0,0.0
145,659,1,0.0
146,661,0,0.0
147,663,0,0.0
148,666,0,0.0
149,667,0,0.0
150,674,1,0.0
151,675,0,0.0
152,687,0,0.0
153,689,0,0.0
154,699,1,0.0
155,710,0,0.0
156,711,0,0.0
157,712,0,0.0
158,731,0,0.0
159,735,0,0.0
160,736,0,0.0
161,737,0,0.0
162,740,1,1.0
163,749,1,0.0
164,752,0,0.0
165,756,0,0.0
166,759,0,0.0
167,762,0,0.0
168,772,0,0.0
169,773,0,0.0
