,id,weather_related,weather_related_prediction
0,7,1,1.0
1,20,1,0.0
2,24,0,1.0
3,27,0,0.0
4,34,0,0.0
5,36,0,0.0
6,37,0,0.0
7,44,0,0.0
8,56,0,0.0
9,60,0,0.0
10,61,0,0.0
11,62,0,0.0
12,63,0,0.0
13,83,0,0.0
14,85,0,0.0
15,91,0,0.0
16,95,1,0.0
17,103,0,0.0
18,105,0,0.0
19,107,0,0.0
20,121,0,0.0
21,122,0,0.0
22,123,0,0.0
23,124,0,0.0
24,127,1,0.0
25,130,0,0.0
26,131,0,0.0
27,134,1,0.0
28,136,0,0.0
29,137,0,0.0
30,140,0,0.0
31,146,0,0.0
32,150,0,0.0
33,153,1,0.0
34,154,0,0.0
35,167,0,0.0
36,171,1,0.0
37,172,0,0.0
38,174,0,0.0
39,181,0,0.0
40,182,0,1.0
41,193,0,0.0
42,197,0,0.0
43,202,0,0.0
44,206,0,0.0
45,210,1,0.0
46,212,0,0.0
47,214,0,0.0
48,215,0,0.0
49,219,0,0.0
50,224,0,0.0
51,227,0,0.0
52,229,0,1.0
53,231,0,0.0
54,234,0,0.0
55,239,0,0.0
56,240,0,0.0
57,246,0,0.0
58,247,0,0.0
59,249,0,0.0
60,250,1,0.0
61,255,0,0.0
62,272,0,0.0
63,274,0,0.0
64,277,0,0.0
65,279,0,0.0
66,281,0,0.0
67,283,0,0.0
68,294,0,0.0
69,295,0,0.0
70,310,0,1.0
71,311,0,0.0
72,315,0,0.0
73,322,0,0.0
74,323,0,0.0
75,333,1,0.0
76,335,0,0.0
77,337,0,0.0
78,341,0,0.0
79,345,0,0.0
80,346,1,0.0
81,347,0,0.0
82,349,0,0.0
83,351,0,0.0
84,355,0,0.0
85,361,0,0.0
86,373,0,0.0
87,380,0,0.0
88,382,0,0.0
89,384,0,0.0
90,386,1,0.0
91,397,1,0.0
92,403,0,0.0
93,416,0,0.0
94,417,0,0.0
95,423,0,1.0
96,431,1,0.0
97,432,0,0.0
98,433,1,0.0
99,443,1,0.0
100,444,1,0.0
101,462,0,0.0
102,469,0,0.0
103,471,0,0.0
104,479,0,0.0
105,481,0,0.0
106,493,0,0.0
107,500,1,0.0
108,504,0,0.0
109,507,0,0.0
110,509,0,0.0
111,510,0,1.0
112,514,0,0.0
113,520,0,0.0
114,525,0,0.0
115,529,0,0.0
116,533,0,0.0
117,535,0,0.0
118,541,0,0.0
119,544,0,0.0
120,559,0,0.0
121,562,0,0.0
122,571,0,0.0
123,577,0,0.0
124,583,0,0.0
125,587,0,0.0
126,589,0,0.0
127,605,0,0.0
